"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzEwMDg4MzE5MTE1ODQwMTQ=","100080467770922","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/367427304_306224865403104_6449693526706875995_n.jpg?stp=cp0_dst-jpg_s32x32_tt6&_nc_cat=101&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeEjfKks3W_0Di_LCbk-ywDX0R2f8D0udKjRHZ_wPS50qCByCefNmPs4GUraWDb9NECHVSi4vVpxcnZP8dd7zVai&_nc_ohc=wc6yfy1v7KkQ7kNvwFLpJ9w&_nc_oc=Adq6St4kPFX_yujLmimwUprEpGI72qQF1ZvmGy9zVpqrZjnELO4iPHuCJCGUKRQ1ovU&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af5m2S1nXhTQ6I5f4MH2KtBco1RpMm3XGwAPp75-GGZyhw&oe=6A18E7E7","Abadi","Sampaikan 5 Bab jalan TUNGGAL masuk surga selamat dr NERAKA!!! Itu nasihat pokok pokoknya nasihat","https://www.facebook.com/reel/1299368152406734/?comment_id=1008831911584014","1","0","13","05/23/2026 17:10:43"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzE5MjM3MDM5NzUwMTY0MzU=","100080467770922","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/367427304_306224865403104_6449693526706875995_n.jpg?stp=cp0_dst-jpg_s32x32_tt6&_nc_cat=101&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeEjfKks3W_0Di_LCbk-ywDX0R2f8D0udKjRHZ_wPS50qCByCefNmPs4GUraWDb9NECHVSi4vVpxcnZP8dd7zVai&_nc_ohc=wc6yfy1v7KkQ7kNvwFLpJ9w&_nc_oc=Adq6St4kPFX_yujLmimwUprEpGI72qQF1ZvmGy9zVpqrZjnELO4iPHuCJCGUKRQ1ovU&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af5m2S1nXhTQ6I5f4MH2KtBco1RpMm3XGwAPp75-GGZyhw&oe=6A18E7E7","Abadi","Sampaikan spy BAEAT ke NURHASAN / SHULTON AULIA,,,biar halal hidupnya","https://www.facebook.com/reel/1299368152406734/?comment_id=1923703975016435","0","0","0","05/23/2026 17:11:33"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzE0ODIyNTc3MzI3OTM2MzY=","1540701149","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/455351240_10224306981092418_3167487216792675739_n.jpg?stp=cp0_dst-jpg_p32x32_tt6&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeG7rV-ZxqUBbRn1qu8ncBK_pyZesA5Z3j2nJl6wDlnePYsjwnzICOn3D4Cynj31Stc2jdKgwLAY7i8MDVu8EFbk&_nc_ohc=5Hwc51-sX-gQ7kNvwECKEUe&_nc_oc=AdoS1yUTYcyam18oECKUYy7uQvZKJiFGUC2fZEsiOR12pDdjjlTM7wfcuZpPTv8hUec&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af62d2_GTKpZnes7NfTkl0nce80hA0lnPIcJNOPMAfeRag&oe=6A18F2EE","Suhardzito Adzit","👍","https://www.facebook.com/reel/1299368152406734/?comment_id=1482257732793636","0","0","0","05/23/2026 17:45:58"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzE2NjY5Mjc0MTEzMDI2NDE=","100018005973082","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/703692216_2062468551029991_4406649073669181466_n.jpg?stp=cp0_dst-jpg_s32x32_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeGrGLG-FAMq_zBbTvo4m7GEoc2Y_PFVdU-hzZj88VV1Tx66Smhb3Gzy-Y-MOS7vVGZwgkJUHVqWA4WIcJq50tSL&_nc_ohc=LQAnC3qGwikQ7kNvwGgbZCf&_nc_oc=AdqvDbhVQXV6tUgbt_I3mZbNnhLIwXjm07T9Xw-MaRrcZlK7fk3RhPYF5K2biU26wd8&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af6jUAkGydxwseC2PXIjkdOX8LU-K6x1GGKNDIfHLeHy5g&oe=6A18F6AC","Bahtiar Ihsan","The best 👍👍👍","https://www.facebook.com/reel/1299368152406734/?comment_id=1666927411302641","0","0","0","05/23/2026 18:33:00"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzI1NjI0MzMyMDc1MjY0ODU=","100000546446847","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/548270831_25254343960833804_2036685765688315708_n.jpg?stp=cp0_dst-jpg_s32x32_tt6&_nc_cat=105&ccb=1-7&_nc_sid=1d2534&_nc_eui2=AeGdU5dIsE180-KigjzE3-FEqTxklAZpYTKpPGSUBmlhMuJmnaqxg9NKZAjzDNHuG-MzhNXNKKorvi-W40JrDylE&_nc_ohc=Z_B_N8k8KqUQ7kNvwEOyQQx&_nc_oc=AdrwfsnZQhStTiimEQO9LYTSjUj1pHItkH6cmQXvbrpR8khfE0oebkqPNStGVSVtCMk&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af6F8Gitqw4Wgb-_KeyWGa_Z3PJHsQUYnjsZNdY9iAiGyw&oe=6A18F3ED","Dina","Masyaallah astaghfirullah...","https://www.facebook.com/reel/1299368152406734/?comment_id=2562433207526485","0","0","0","05/23/2026 19:30:29"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzE5NjUyNTY3ODc0NDU1NTU=","100094250070520","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/704933224_852109041274091_3025239011013098545_n.jpg?stp=c0.110.658.658a_cp0_dst-jpg_s32x32_tt6&_nc_cat=111&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeHtLSv7-Ep8U5xeTXk1wAJUUF0okhixCbFQXSiSGLEJsSCHsl5IPjGDzdCrtCcI1s6_y_ctPIYrUTr5Nv-uCrjF&_nc_ohc=FyOCD7ko80oQ7kNvwF1QeTY&_nc_oc=Adqx4yizf1f2Y0ogGW2XOxH2inM5jGI-A11Zk5hkr4wrsZm53t8j_cqTY-KpO7hEfhk&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af4ARdQAD2UY4Wgjpvx9eWHbUOhACAqZRYrBWG95R9ZZ0g&oe=6A18DBB8","Yadi Suwarno","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-6/705968403_851258658025796_2407133124269249597_n.jpg?stp=dst-jpg_p100x100_tt6&_nc_cat=108&ccb=1-7&_nc_sid=bd9a62&_nc_eui2=AeHGGaC7OdXlM2wb46Qh-ufES434AD3PMBNLjfgAPc8wE7v7In36hrGd1ACdNsq4L0m6_iFZEjj1WqhtCcx347-J&_nc_ohc=musjg6JKveAQ7kNvwHtTCcW&_nc_oc=AdqwZs9ygz6IaVuZrHDLm18F5q8mJTUA0OMc365KSDE80nVioWj5p5VwA4cMnd_6Ppo&_nc_zt=23&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af7g2zitPFQbBTxQmYklAeJ7eF9jtYSlgPce0uCv2F6yog&oe=6A18F9F4","https://www.facebook.com/reel/1299368152406734/?comment_id=1965256787445555","0","0","0","05/23/2026 19:51:26"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzIwMzAzNjExNjc1MTM1OTg=","100052391471997","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/472710215_1144917157264656_6995377082628260556_n.jpg?stp=cp0_dst-jpg_s32x32_tt6&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_eui2=AeEn-y_D3GN5CakRWiqhJHncjIvk_f3-nyWMi-T9_f6fJRFq6H4RWbzCmA6GUu-WtRSlAmzbAoNxTGQzhVUiDHn2&_nc_ohc=Y3hylX9OnYQQ7kNvwHqdl2n&_nc_oc=AdqZLt6NTtFFHlx704N55Zid0K5g9o8gQ6Ed8Eu_qVcrQvB6k9YhV4tG8jS--pljVQo&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af6Cs5n1R_uDmL_iP8ntpCt1jI6A4I7FsEZzGd_lnZ9egw&oe=6A18DE34","Om Ochan","Kalau ISIS itu model ekstrem yang terang-terangan mengangkat senjata, maka kelompok takfiri model 354 lebih memilih jalur halus: propaganda, doktrin internal tertutup, pencitraan luar, dan permainan narasi. Bedanya hanya metode, tapi akar penyakitnya sama-sama merasa kelompok sendiri paling benar lalu memandang umat lain rusak, sesat, bahkan tidak sah.
ISIS brutal di permukaan sehingga cepat dibenci dunia. Sedangkan model 354 lebih licin. Di internal bisa muncul doktrin keras tentang muslim luar, tapi di depan publik tampil lembut, toleran, dan penuh basa-basi demi menjaga eksistensi organisasi. Di luar bicara persaudaraan Islam, di dalam menyebar rasa jijik terhadap umat lain. Ini justru lebih berbahaya karena bergerak diam-diam.
Kalau benar ada keyakinan bahwa darah, harta, atau kehormatan muslim luar dianggap rendah, lalu dalil-dalil tentang kafir ditempelkan kepada kaum muslimin, itu sudah bibit pemikiran takfiri. Hanya saja mereka tidak frontal seperti ISIS karena sadar kondisi negara dan masyarakat tidak memungkinkan.
ISIS merusak citra Islam dengan ledakan dan pembantaian. Sedangkan model ekstrem terselubung merusak Islam lewat kemunafikan sosial, fanatisme kelompok, budaya dusta, dan pengkafiran diam-diam. Satu memakai senjata, satu memakai topeng.
Ujungnya sama: umat pecah, saling curiga, dan Islam terlihat menyeramkan karena dipenuhi kelompok yang merasa paling suci sambil mudah menghakimi muslim lain.","https://www.facebook.com/reel/1299368152406734/?comment_id=2030361167513598","2","0","4","05/23/2026 19:56:49"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzEzMTAzMTQ5OTA0NDA2Nzc=","100088252193558","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/472314961_566449266306808_5884278678035249442_n.jpg?stp=c0.5.242.240a_cp0_dst-jpg_s32x32_tt6&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeHmNJCtc_dxMxChjs7Qyxd3mLAn4x_9rhGYsCfjH_2uESmt1NqqF56FlGhg3_qwdc-9leOooqLldfDO2pijnGR_&_nc_ohc=OgZRErcti8oQ7kNvwHyCLbo&_nc_oc=Adqu_cMGgiiWta7kbcKtVp2WY7nr3M5xYJt-2OiPq7ZMzLa-hqcHMMlcgo6jBWxr7rs&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af4WDRgAKg4Hrl8O9ofhsSNt3x6bGLsjQ-T9DTGISd-25w&oe=6A18C543","Nur Salam","Mantab joos tenan nasehate..","https://www.facebook.com/reel/1299368152406734/?comment_id=1310314990440677","0","0","0","05/23/2026 20:59:27"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzg0NDY2ODU4NDg3MjY5NQ==","100083088863724","https://scontent.fcgk43-1.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s32x32&_nc_cat=1&ccb=1-7&_nc_sid=b224c7&_nc_eui2=AeFGFJyZaqPRpiRyZpRgbwBxWt9TLzuBU1Ba31MvO4FTUL8HxY2QiwXJTv5p9XLa_dMvsgUnsVhkID7reG3SHs4m&_nc_ohc=K7kB_z34aKIQ7kNvwGwMh4l&_nc_oc=AdoeRvRCc-dRS6STrqswcPaVUjYROipM-o0xx_uEpRLNOkn3nhaXfkhQ1Ta8l88uu3s&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_ss=7b2a8&oh=00_Af7UVAeJ-zDX8md35A8in4tb3EQLj4eUVF4di-WfjapNtg&oe=6A3A81FA","ILham Hakim","Lahh itu imam sulton si mulut turbo taibon hartane harleyne akeh mobil offroadte akeeh juurr piyeee ikuu","https://www.facebook.com/reel/1299368152406734/?comment_id=844668584872695","0","0","0","05/23/2026 21:06:15"
"Y29tbWVudDoxNDU3NjU1MjYzMDU3NDgyXzQzMDY5NjY1NDk1MjAxMjk=","100002653851923","https://scontent.fcgk43-1.fna.fbcdn.net/v/t39.30808-1/615358058_25503965609275217_2111207545105292226_n.jpg?stp=cp0_dst-jpg_s32x32_tt6&_nc_cat=102&ccb=1-7&_nc_sid=1d2534&_nc_eui2=AeGpLFVk6upkpJv_Dkxw3IdCTlOktApAD0hOU6S0CkAPSABKcKsEsFa88skzG3Us6L0Fd1dunVtgP6kbm3PbPTyF&_nc_ohc=6JoiXjSxoi8Q7kNvwFW2FTI&_nc_oc=Adregi3G1oTWgzGClhyY8sl0OmU7dUbthW-Y_M9CagIPiJb3w0nwkMe7KLBt_KC9qJU&_nc_zt=24&_nc_ht=scontent.fcgk43-1.fna&_nc_gid=pK4lODdeosUHZ1QbzSrxLA&_nc_ss=7b2a8&oh=00_Af4Di0vRZc5ixMEdKbcbJCZxXaSgznWOYnePIl14Bat5yA&oe=6A18C846","Uswakhas Khasanah","Mantap pk ustad","https://www.facebook.com/reel/1299368152406734/?comment_id=4306966549520129","0","0","0","05/23/2026 21:43:20"
